,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
20634,10517.0,100.4538,55.2497,28.7415,106.6221,1.9732,5.7195,8.1536,28.3206,29.2778,35.7149,112.3634,8.1321,244.6185,130.0828,2.5204,0.007,3.025,0.1178,0.1871,0.2345,16070.0,1480.0,6493.4717,81.9198,0.2498,43767.2109,138.277,140.1445
20635,10517.5,104.5919,57.8702,29.6053,111.1386,2.0961,5.9306,8.3987,26.0616,25.915,28.9433,118.0679,8.1207,244.4384,129.9852,2.4903,0.0007,2.8379,0.1365,0.1941,0.2336,15973.333,1506.6666,6499.916,84.1737,0.2662,43726.25,139.883,144.3414
20636,10518.0,110.2608,61.8484,31.589,117.0983,2.2432,6.1512,8.9614,14.2829,16.6713,19.0677,123.9573,8.111,244.2588,129.888,2.4763,-0.0041,2.7428,0.1452,0.2046,0.247,15800.0,1200.0,6482.9829,87.1405,0.2878,43684.1641,160.7117,153.0811
20637,10518.5,113.0924,63.9368,32.8404,119.8285,2.3081,6.2226,9.3164,8.4807,10.9672,12.9121,123.8249,8.1177,244.0793,129.791,2.47,-0.0087,2.7495,0.1491,0.2047,0.244,15646.667,1273.3334,6520.0093,88.9152,0.3007,43640.5938,161.2048,158.4122
20638,10519.0,112.7255,64.407,33.4115,119.2702,2.3058,6.1081,9.4784,6.7886,9.1921,11.0357,118.5729,8.118,243.8995,129.6938,2.478,-0.0107,2.8386,0.1441,0.2052,0.2491,14735.0,1380.0,6525.8823,89.5898,0.3056,43596.1367,161.312,160.06
20639,10519.5,107.2755,61.8098,31.8481,113.1446,2.2255,5.7153,9.0349,7.8366,9.6159,11.2072,115.1872,8.1209,243.7198,129.5965,2.4993,-0.0094,2.9406,0.1309,0.2009,0.2511,14953.333,1346.6666,6540.2935,89.4711,0.3047,43551.3438,161.5101,159.8916
20640,10520.0,104.2808,60.1093,30.6601,109.8031,2.1826,5.5326,8.6979,10.2571,10.3758,12.2402,116.768,8.1433,243.5398,129.4991,2.5257,-0.0072,3.0053,0.1145,0.1928,0.2478,14395.0,1285.0,6533.8057,88.2989,0.2962,43506.6094,160.9375,158.2621
20641,10520.5,102.2136,58.8566,29.7022,107.4719,2.156,5.4125,8.4261,13.0175,11.8093,13.9957,117.8757,8.1444,243.359,129.4008,2.5558,-0.0047,3.0851,0.0958,0.1864,0.2492,14613.333,1286.6666,6452.9365,85.9393,0.279,43462.4609,158.6545,155.4568
20642,10521.0,100.185,57.2212,28.6749,105.4348,2.108,5.3678,8.1347,14.2439,14.5553,16.56,110.9142,8.1413,243.1783,129.3025,2.5807,-0.0008,3.2275,0.0803,0.1828,0.2529,14773.333,1446.6666,6449.6182,83.0122,0.2577,43419.4922,153.5236,150.5005
20643,10521.5,97.3671,54.5837,27.3445,102.6616,2.0116,5.3527,7.7573,12.9725,16.947,20.3589,104.4481,8.1426,242.9975,129.2042,2.5841,0.0044,3.3467,0.0782,0.1732,0.2358,15470.0,1466.6666,6447.3657,80.0783,0.2364,43377.9844,145.1343,141.5883
20644,10522.0,93.1866,52.096,25.9713,98.2716,1.9275,5.1409,7.3677,13.1701,19.0077,23.4972,101.2206,8.1455,242.8166,129.1058,2.5731,0.0079,3.3561,0.085,0.1602,0.207,16366.667,1726.6666,6485.8745,77.4889,0.2175,43337.9453,138.9998,137.3183
20645,10522.5,91.0625,51.1625,25.5268,96.085,1.892,5.0014,7.2417,19.7954,22.1154,29.8606,91.5862,8.1569,242.6356,129.0074,2.5692,0.0086,3.328,0.0875,0.1626,0.2099,14715.0,1620.0,6544.4414,77.4889,0.2175,43337.9453,138.9998,137.3183
20646,10523.0,86.2842,49.3915,24.5192,91.143,1.834,4.6483,6.9558,27.0495,30.6628,41.8587,76.8979,8.1181,242.4543,128.9085,2.5906,0.009,3.4477,0.0742,0.1506,0.1965,15966.667,1473.3334,6529.9839,75.431,0.2026,43279.8281,134.9671,135.1138
20647,10523.5,78.2553,45.3711,22.335,82.9734,1.696,4.1864,6.3362,38.3165,36.0505,49.524,65.0379,8.1078,242.274,128.8107,2.6283,0.0128,3.643,0.0508,0.1322,0.1777,16425.0,2095.0,6533.8628,73.7736,0.1905,43242.1133,132.3269,132.7522
20648,10524.0,71.735,41.9598,20.6767,76.2194,1.5674,3.8142,5.8657,23.8153,40.2416,51.415,61.6145,8.1264,242.0946,128.7138,2.6291,0.0118,3.5348,0.0503,0.1232,0.1622,17413.334,2213.3333,6454.0005,72.9482,0.1845,43205.2266,130.9871,130.7079
20649,10524.5,75.5751,44.7862,22.3965,80.2723,1.654,3.9508,6.3536,15.7645,41.9595,43.3622,64.9935,8.1377,241.9144,128.6161,2.5898,0.0066,3.1704,0.0747,0.13,0.1594,18980.0,2370.0,6484.8325,74.1788,0.1934,43168.7539,132.5273,130.6639
20650,10525.0,88.519,53.4194,27.219,93.5256,1.9435,4.4652,7.7217,11.1946,23.7511,26.0388,80.4877,8.1363,241.734,128.5182,2.5467,0.0108,2.9691,0.1014,0.1692,0.2125,16806.666,1913.3334,6474.499,78.7922,0.227,43131.6641,138.2273,134.0862
20651,10525.5,104.7951,63.839,32.8985,109.9492,2.3011,5.1336,9.3329,9.6781,15.8798,17.6084,103.4314,8.1454,241.5533,128.42,2.5083,0.0184,2.9752,0.1253,0.1989,0.2516,15340.0,1460.0,6508.2881,82.6148,0.2548,43092.2695,142.2921,140.3188
20652,10526.0,113.6438,69.7235,36.0691,118.491,2.5055,5.4295,10.2324,10.7649,13.7116,15.2988,114.1084,8.1606,241.3722,128.3214,2.5052,0.0252,3.0176,0.1272,0.1951,0.2427,14913.333,1520.0,6580.2466,85.0543,0.2726,43050.9609,144.7931,143.7233
20653,10526.5,116.8487,71.6158,37.2342,121.0909,2.5628,5.5082,10.5629,10.4415,13.2178,14.4091,113.3653,8.1611,241.1905,128.2222,2.5364,0.0304,3.1287,0.1079,0.1934,0.2538,15373.333,1310.0,6543.7563,86.1924,0.2809,43008.4336,147.3235,146.0875
20654,10527.0,109.9714,66.3273,34.8536,113.8008,2.3522,5.2854,9.8875,10.8183,13.8145,15.0789,110.9659,8.1561,241.0088,128.123,2.548,0.022,3.2822,0.1006,0.1884,0.2496,14745.0,1446.6666,6596.9673,85.7494,0.2777,42965.3359,149.0793,148.2222
20655,10527.5,102.2618,60.7761,32.3852,106.0638,2.1293,5.0421,9.1873,11.5509,14.4925,16.0665,109.9641,8.1589,240.8273,128.024,2.5362,0.0088,3.3113,0.1079,0.1881,0.2435,14925.0,1465.0,6561.79,84.486,0.2685,42922.4609,148.7863,148.7508
20656,10528.0,99.5556,57.3865,30.4267,103.8975,2.0197,5.1782,8.6317,16.2737,16.8579,18.7388,106.6589,8.1606,240.6458,127.9249,2.5414,0.0055,3.2886,0.1047,0.1841,0.2382,15600.0,1326.6666,6573.5112,83.2996,0.2598,42880.2188,146.784,147.1404
20657,10528.5,94.8994,53.1189,27.8783,99.8904,1.8864,5.2072,7.9087,17.7248,20.7722,22.9078,104.7328,8.1536,240.4643,127.8259,2.557,0.0026,3.3713,0.095,0.1743,0.2265,15226.667,1385.0,6561.2954,82.4339,0.2535,42838.5703,144.7738,144.782
