,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
13842,7110.5,26.5563,2.8848,3.5834,0.0499,2.9566,0.8186,378.2283,483.8109,0.0108,26.8354,68.5323,8.1056,1328.5454,698.334,2.6748,0.0153,4.853,-0.0242,0.5077,0.1067,0.0206,4667.8066,50.2947,95.0443,96.1005,0.0191,255663.4531,0.0167
13843,7111.0,30.3155,0.1769,0.8741,0.0498,3.3751,0.0502,468.6841,568.9861,0.013,28.26,863.5162,8.1003,1328.3665,698.2375,2.6789,0.0153,4.898,-0.0246,0.4627,0.0989,0.0182,4693.5684,49.9619,95.18,96.2267,0.0167,255625.7188,0.0175
13844,7111.5,27.9448,0.1769,0.8878,0.0508,3.1112,0.0502,647.6267,761.8978,0.0143,28.6776,628.1433,8.0983,1328.1875,698.1411,2.6959,0.0098,5.0313,-0.0178,0.3115,0.2534,0.0083,4701.1479,49.9619,95.18,96.2267,0.0167,255625.7188,0.0156
13845,7112.0,24.7496,0.1756,1.5157,0.0958,2.7555,0.0498,1081.0419,1209.2804,0.0146,30.7958,756.6031,8.1081,1328.0083,698.0444,2.6928,0.0027,5.0721,-0.0115,0.0818,0.3439,0.01,4711.6641,49.9092,95.2684,95.816,0.0163,255575.7813,0.0163
13846,7112.5,24.4916,0.6227,2.6237,0.143,2.7267,0.1767,1347.2604,1657.3308,0.013,30.6467,1040.3274,8.1074,1327.8291,697.9476,2.6847,-0.002,5.018,-0.0007,-0.3638,0.1794,0.0148,4719.353,49.9092,95.2684,95.816,0.0163,255575.7813,0.0165
13847,7113.0,23.1333,2.3348,3.1045,0.055,2.5755,0.6625,1555.0485,1907.2802,0.0098,25.7241,1086.8662,8.0982,1327.6497,697.8507,2.6797,-0.0044,4.9792,0.016,-0.7139,-0.1035,0.0177,4705.3037,50.099,95.1974,95.0194,0.0177,255538.3125,0.0151
13848,7113.5,21.5212,4.0122,4.726,0.051,2.396,1.1385,1786.8722,2228.4448,0.0086,23.2554,1132.4319,8.0959,1327.4708,697.7545,2.6751,-0.0073,4.9362,0.0177,-0.3809,-0.3532,0.0204,4718.2202,50.3125,95.0107,94.2513,0.0192,255500.7656,0.015
13849,7114.0,21.1284,4.4031,5.0446,0.0459,2.3523,1.2495,2025.2948,2558.429,0.0067,24.8142,1632.2378,8.0934,1327.292,697.6581,2.6752,-0.0088,4.866,0.0004,0.3613,-0.3009,0.0204,4701.4893,50.3125,95.0107,94.2513,0.0192,255500.7656,0.0136
13850,7114.5,20.7734,3.4664,4.0441,0.0413,2.3128,0.9837,1859.916,1963.8655,0.0063,25.3288,2687.0337,8.096,1327.1133,697.562,2.6796,-0.0082,4.8449,-0.0078,0.7298,0.2782,0.0178,4696.9688,50.2429,94.838,93.9282,0.0187,255450.4219,0.0126
13851,7115.0,22.6268,0.2244,0.8032,0.0414,2.5191,0.0637,1106.4399,1296.5601,0.0066,24.6725,3043.7363,8.0934,1326.9347,697.4658,2.6775,-0.0066,4.8318,0.0027,0.4621,0.5961,0.019,4696.6641,50.2429,94.838,93.9282,0.0187,255450.4219,0.0131
13852,7115.5,20.5737,1.9732,2.5689,0.0426,2.2906,0.5599,762.1401,935.5954,0.006,24.2921,387.7142,8.0929,1326.7559,697.3696,2.6728,-0.0029,4.8115,0.0107,-0.0321,0.1803,0.0218,4695.6763,49.937,94.7377,93.9536,0.0165,255412.75,0.0136
13853,7116.0,21.5748,2.319,3.0726,0.0539,2.402,0.6581,543.5002,736.1782,0.0075,25.0454,303.9572,8.1018,1326.577,697.2733,2.685,0.0006,4.8587,0.0039,-0.2385,-0.2642,0.0146,4714.3335,49.937,94.7377,93.9536,0.0165,255412.75,0.0125
13854,7116.5,32.7615,0.3294,0.9514,0.0445,3.6475,0.0935,509.2576,712.7608,0.0096,29.2322,203.8606,8.1022,1326.3982,697.1769,2.6916,0.0019,4.9235,-0.0052,-0.294,-0.4828,0.0108,4688.5596,49.6944,94.7713,93.8598,0.0148,255362.8125,0.0129
13855,7117.0,32.8671,0.3309,1.7505,0.1015,3.6592,0.0939,653.0245,856.2589,0.0121,32.5896,300.2527,8.1015,1326.2191,697.0803,2.6822,0.0035,4.9309,-0.0063,-0.5018,-0.6034,0.0163,4683.6484,49.6966,94.9408,93.3569,0.0148,255325.5625,0.0163
